LON,LAT,EDO,CLAVE,ESTACION,mar-23
-95.212778,18.450833,VER,STXVC,"San Andrés Tuxtla AC, Ver.",0
-94.088889,17.873611,VER,JDCVC,"San José del Carmen, Ver.",76.5
-96.130556,19.085833,VER,SJNVC,"San José Novillero, Ver.",1.91
-95.133333,17.883333,VER,SJEVC,"San Juan Evangelista, Ver.",49.62
-97.293056,19.696944,VER,SNTVC,"Santa Ana, Ver. PC",28.77
-96.921389,19.578611,VER,SEDVC,"Sedeño, Ver.",125.02
-95.183333,18.45,VER,SIHVC,"Sihuapán, Ver.",3.7
-97.809722,20.887222,VER,SBTVC,"Sombrerete, Ver.",54.88
-95.033333,18.516667,VER,SONVC,"Sontecomapan, Ver.",30.02
-96.488889,19.338889,VER,TAMVC,"Tamarindo, Ver.",80
-89.047222,20.030278,VER,TNTYC,"Tantaquín, Yuc. SMN*",22.08
-96.966667,19.45,VER,TAPVC,"Tapachapan, Ver.",143.1
-98.409444,21.499722,VER,TMPVC,"Tempoal, Ver.",50.1
-96.916667,19.811111,VER,TNCVC,"Tenochtitlán, Ver.",91.3
-96.966667,19.383333,VER,TCOVC,"Teocelo, Ver.",122
-96.797778,19.674444,VER,TEPVC,"Tepetlán Protección Civil, Ver.",24.5
-98.153056,21.039722,VER,TRRVC,"Terrerillos, Ver.",28.2
-94.163333,17.571944,VER,TMOVC,"Tierra Morada, Ver.",33
-97.125278,18.579722,VER,TLQVC,"Tlaquilpa, Ver.",32.41
-97.2225,19.921944,VER,TOMVC,"Tomata, Ver.",115.71
-96.950278,19.233611,VER,TOTVC,"Totutla, Ver.",89.21
-95.416667,18.466667,VER,TZAVC,"Tres Zapotes, Ver.",9.5
-96.613889,19.022222,VER,VTEVC,"Villa Tejeda, Ver.",0
-96.929167,19.511944,VER,XBSVC,"Xalapa Base PC, Ver.",141.8
-96.927778,19.542222,VER,XBMVC,"Xalapa Bomberos PC, Ver.",53.8
-96.863889,19.546667,VER,XCAVC,"Xalapa Castillo PC, Ver.",146
-96.85,19.55,VER,XCFVC,"Xalapa CFE, Ver.",146.42
-96.916111,19.536944,VER,XCNVC,"Xalapa Constituyentes PC, Ver.",141.6
-96.903889,19.542222,VER,XCRVC,"Xalapa Cristal, Ver.",128.73
