LON,LAT,EDO,CLAVE,ESTACION,oct-23
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",94.51
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",54.62
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",124.03
-105.955556,25.934722,DGO,GNCDR,"Guanaceví, Dgo.",89.03
-104.9225,24.803889,DGO,GUADR,"Guatimapé, Dgo.",32.23
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",37.8
-106.7,25.35,DGO,LHRDR,"La Huerta, Dgo.",193.03
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",102.4
-104.75,23.516667,DGO,LBYDR,"Las Bayas, Dgo.",36.6
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",11.4
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",105.83
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",63.02
-105.041667,23.834167,DGO,NAVDR,"Navíos Viejos, Dgo.",66.6
-105.725,25.341111,DGO,TLHDR,"Observatorio de Tepehuanes, Dgo.",64.41
-104.656667,24.203889,DGO,PAGDR,"Peña del Águila, Dgo.",87.73
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",62.71
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",59.41
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",36.51
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",95.91
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",95.02
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",17.52
-105.566667,26.084444,DGO,SRDDR,"Sardinas, Dgo.",38.02
-106.975,24.933333,DGO,TMZDR,"Tamazula, Dgo.",115.52
-103.979722,23.737778,DGO,VGCDR,"Vicente Guerrero, Dgo.",96.51
-104.928889,26.2425,DGO,VHGDR,"Villa Hidalgo, Dgo.",105.01
-105.506111,26.447778,DGO,VOCDR,"Villa Ocampo, Dgo.",40.01
-99.906667,16.849722,GRO,ACAGR,"Acapulco, Gro.",893
-98.975278,17.719722,GRO,AHUGR,"Ahuacuotzingo, Gro.",77.9
-100.5175,18.075833,GRO,AFIGR,"Andrés Figueroa, Gro.",231
-99.104722,18.106944,GRO,ATENANGOCFE,"Atenango del Río, Gro. CFE*",49
-100.433333,17.210278,GRO,ATYGR,"Atoyac, Gro.",479.9
-99.400833,18.459444,GRO,BVSGR,"Buena Vista, Gro.",84
-99.701111,17.672222,GRO,CCHGR,"Chichihualco, Gro.",91
-99.175833,17.608611,GRO,CHLGR,"Chilapa, Gro.",148.22
-99.5,17.545278,GRO,CHIGR,"Chilpancingo, Gro.",223.4
-100.664444,18.359444,GRO,CALGR,"Ciudad Altamirano, Gro.",225.7
-99.661944,18.245278,GRO,COCGR,"Cocula, Gro.",130.8
-98.970833,16.614722,GRO,COPGR,"Copala, Gro.",320.6
-100.089444,17.008889,GRO,CDBGR,"Coyuca de Benítez, Gro.",500.7
